,Stachen1_lat,Stachen1_lon,Stachen2_lat,Stachen2_lon
0,52.164715,7.903414,52.162247,7.909289
1,49.19859,7.031276,50.15032,8.350158
2,52.68663,10.945242,52.687275,10.932196
3,47.860214,12.10867,47.8583,12.111868
4,47.71734,10.313297,47.720745,10.314249
5,54.128242,10.642632,54.127396,10.640885
6,51.327904,6.903849,51.329285,6.907685
7,48.939667,8.368777,48.943024,8.36698
8,51.62962,7.32568,51.630657,7.323893
9,51.11457,13.788556,51.11844,13.789508
10,52.75247,12.342321,52.752678,12.351159
11,48.95424,12.739054,48.948154,12.732613
12,48.95424,12.739054,48.958336,12.740689
13,51.767784,7.497312,51.77039,7.488895
14,51.458076,7.224225,51.451725,7.222949
15,51.458076,7.224225,51.446373,7.225033
16,51.458076,7.224225,51.451725,7.222949
17,49.638367,8.327185,49.635166,8.331147
18,48.36162,11.04051,48.31358,10.002775
19,51.780155,14.345647,51.784843,14.344208
20,51.255917,14.11883,51.24664,14.122873
21,51.419014,6.696644,51.41779,6.693347
22,49.317776,7.342322,49.31855,7.339242
23,54.765755,9.598863,54.755905,9.61205
24,50.7476,12.298906,50.748676,12.301592
25,50.03388,7.808848,50.040443,7.809432
26,52.2339,10.559004,52.23129,10.559085
27,52.2339,10.559004,52.23315,10.554603
28,53.707893,8.971499,53.703156,8.979406
29,49.158657,10.336653,49.165825,10.32997
30,48.387367,10.047241,48.388535,10.035789
31,50.343044,8.529907,50.34089,8.533272
32,50.343044,8.529907,50.339268,8.530436
33,49.65847,8.996969,49.657463,8.997481
34,50.914585,8.352266,50.917667,8.358051
35,47.66092,9.503897,54.22888,10.37968
36,51.608223,7.088238,51.607338,7.084528
37,52.48215,13.516307,52.480225,13.520657
38,54.39509,10.37258,54.39813,10.37558
39,51.00973,6.058544,51.007107,6.051079
40,50.134262,7.019049,50.156326,7.018744
41,52.527233,13.367896,52.527233,13.367896
42,52.527233,13.367896,52.525764,13.365227
43,52.527233,13.367896,52.531063,13.367838
44,51.59527,6.384659,51.58512,6.385656
45,49.427563,11.06534,49.42514,11.065591
46,48.92681,8.36999,48.923798,8.362929
47,52.523026,10.21537,52.54569,10.190452
48,52.375874,9.732501,52.381336,9.726706
49,52.375874,9.732501,52.37807,9.723014
50,50.099766,8.654251,50.10174,8.654027
51,52.49781,13.430995,52.499184,13.428109
52,53.507786,8.58899,53.509884,8.588095
53,52.63011,13.279352,52.630695,13.283668
54,51.22354,6.912213,51.224457,6.909644
55,49.505993,6.531717,49.507942,6.539272
56,49.19847,9.651724,49.189552,9.642885
57,49.369343,8.530231,49.371777,8.537382
58,52.213722,10.907901,52.217438,10.9072
59,48.24754,11.624667,48.248707,11.619232
60,47.980175,7.797537,47.981354,7.795045
61,52.442314,9.736534,52.44059,9.739741
62,47.71281,10.311438,47.710228,10.313504
63,50.820553,12.916795,50.82536,12.922077
64,52.4699,13.480949,52.467384,13.48444
65,51.964794,7.600134,51.96131,7.602325
66,48.075474,8.364851,48.078102,8.366468
67,51.44602,6.994543,51.44514,6.986288
68,53.853493,11.627946,53.863674,11.614642
69,48.853436,9.500215,48.846466,9.501971
70,48.853436,9.500215,48.86079,9.496077
71,52.186607,8.834033,52.18562,8.827044
72,51.841522,10.268049,51.852448,10.274751
73,51.126972,9.133854,51.127487,9.131627
74,52.518024,13.40008,52.517418,13.394344
75,48.080437,7.811471,48.083523,7.811175
76,47.947685,11.087376,47.94534,11.086926
77,49.696793,10.176951,49.668125,10.142456
78,53.50723,9.57207,53.504475,9.575574
79,53.50723,9.57207,53.50747,9.567049
80,47.66522,9.486766,47.665165,9.48815
81,47.66522,9.486766,47.66796,9.490153
82,51.46713,6.852511,51.468063,6.854882
83,51.216,10.469051,51.219723,10.471359
84,53.75637,11.541582,53.74323,11.565935
85,48.196693,10.175487,48.22232,10.178559
86,48.51514,10.80296,48.51599,10.814126
87,50.347485,7.583335,50.350014,7.582796
88,50.89286,7.074727,50.89222,7.077889
89,50.89286,7.074727,50.89222,7.077889
90,52.434666,13.539498,52.43198,13.546271
91,52.434666,13.539498,52.43198,13.546271
92,52.434666,13.539498,52.436268,13.543524
93,51.645695,7.659611,51.64674,7.664525
94,49.48488,9.770499,49.49332,9.771451
95,51.366264,7.612351,51.36739,7.610563
96,51.366264,7.612351,51.36574,7.610006
97,51.366264,7.612351,51.36574,7.610006
98,54.19459,9.111588,54.19952,9.116374
99,54.19459,9.111588,54.193813,9.106262
100,51.17472,13.547753,51.1734,13.539282
101,49.48214,7.62967,49.48422,7.624083
102,49.48214,7.62967,49.482048,7.623705
103,51.779232,7.217442,51.783474,7.216822
104,48.77462,9.139817,48.77254,9.14158
105,51.35321,9.209992,51.38736,9.192853
106,51.645855,7.090169,51.646633,7.086612
107,51.645855,7.090169,51.646633,7.086612
108,51.12028,14.19578,51.120384,14.192555
109,50.112812,8.73393,50.11695,8.734928
110,50.63301,8.182342,50.62438,8.16535
111,51.94911,8.402733,51.946507,8.408932
112,51.666927,6.275541,51.669834,6.275478
113,49.231876,7.475771,49.228622,7.467291
114,51.195644,8.945032,51.194065,8.950241
115,51.414616,7.180486,51.41642,7.180908
116,53.383183,7.217455,48.155556,11.608758
117,52.30969,11.014549,52.305267,11.013579
118,48.415245,10.068146,48.41061,10.069183
119,50.674282,8.703445,50.671043,8.70628
120,50.834602,12.924942,50.83311,12.924996
121,51.59252,7.316356,51.59142,7.320254
122,49.70209,11.259852,49.69911,11.265233
123,49.70209,11.259852,49.69911,11.265233
124,49.70209,11.259852,49.69911,11.265233
125,50.92556,12.328806,50.919453,12.338001
